sid,longitude,latitude,name,address,tel,wifi
1,121.740089,25.132571,海景門市,200基隆市仁愛區港西街6之2號,02-2428-4223,Y
3,121.509098,25.041583,寶平門市,100台北市中正區寶慶路32號,02-2331-0388,Y
4,121.531439,25.017797,羅斯福門市,106台北市大安區羅斯福路三段301號,02-2364-6845,Y
5,121.514167,25.046001,懷寧門市,100台北市中正區懷寧街10號,02-2389-3776,Y
6,121.57694,25.062673,舊宗門市,114台北市內湖區舊宗路一段188號一樓,02-8792-8408,Y
7,121.563588,25.041256,聯合門市,110台北市信義區忠孝東路四段561號1樓,02-2749-5657,Y
8,121.548296,25.051753,環亞門市,105台北市松山區南京東路三段337號1F,02-8712-0625,Y
10,121.540795,25.06212,龍權門市,104台北市中山區民權東路三段22號,02-2517-9259,Y
11,121.548336,25.041369,龍門門市,106台北市大安區忠孝東路四段134號,02-2740-6782,Y
12,121.543721,25.03332,興南門市,106台北市大安區復興南路一段323號1樓,02-2325-9473,Y
13,121.544467,25.053455,興北門市,105台北市松山區復興北路147號1、2F,02-2712-8189,Y
14,121.557886,25.048184,德復門市,105台北市松山區八德路三段251號1~2F,2578-8732,Y
15,121.507392,25.043915,漢中門市,108台北市萬華區漢中街51號1~3樓,02-2370-5893,Y
16,121.546205,25.083801,實踐門市,104台北市中山區大直街70號1樓,02-2532-5223,Y
17,121.553019,25.041263,鼎豐門市,106台北市大安區忠孝東路四段218號一樓,2773-7207,Y
18,121.557309,24.999556,萬芳門市,116台北市文山區興隆路三段111號,02-2933-6950,Y
19,121.569521,25.078441,瑞傳門市,114台北市內湖區瑞光路476號,02-8798-3266,Y
20,121.572749,25.077284,瑞光門市,114台北市內湖區瑞光路356號,02-2659-3912,Y
23,121.547395,25.152201,陽明山門市,112台北市北投區湖山路一段14號之1 1樓,02-2861-0399,Y
24,121.556934,25.042442,華視門市,106台北市大安區光復南路180巷14號,02-8771-9692,Y
25,121.575919,25.075292,港墘門市,114台北市內湖區瑞光路216號,02-8753-5105,Y
26,121.548955,25.031446,敦富門市,106台北市大安區敦化南路二段59號,02-2707-4198,Y
27,121.549346,25.02866,敦南門市,106台北市大安區敦化南路二段101號1樓,02-2754-9460,Y
29,121.549145,25.053772,敦化門市,105台北市松山區敦化北路147號1F,02-2718-2750,Y
31,121.515617,25.04652,許昌門市,100台北市中正區忠孝西路一段50號,02-2389-9086,Y
32,121.566678,25.046942,統豐門市,110台北市信義區東興路65號,02-2746-6635,Y
33,121.565829,25.039202,統誠門市,110台北市信義區松高路11號,02-2723-2086,Y
35,121.6117,25.0697,康寧門市,114台北市內湖區康寧路三段72號1F,02-2633-1621,Y
36,121.54348,25.025364,興和門市,台北市大安區復興南路二段275號,227019918,Y
42,121.521784,25.057861,馬偕門市,104台北市中山區民生西路7號,02-2511-6691,Y
43,121.517477,25.046115,站前門市,100台北市中正區忠孝西路一段36號,02-2381-8993,Y
44,121.513171,25.042246,重慶門市,100台北市中正區重慶南路一段104號,02-2371-3336,Y
45,121.557291,25.082752,美麗華門市,104台北市中山區敬業三路20號,02-2175-3190,Y
47,121.575644,24.987623,政大門市,116台北市文山區指南路二段105號,02-8661-6613,Y
48,121.537212,25.025363,建和門市,106台北市大安區和平東路2段42-1號,02-2363-9331,Y
50,121.613724,25.057587,南港門市,115台北市南港區三重路19-10號1樓,02-2655-1456,Y
52,121.533363,25.05218,南東門市,104台北市中山區南京東路二段111號1樓,02-2516-3186,Y
53,121.520163,25.052618,南西門市,103台北市大同區南京西路27號,02-2556-6810,Y
55,121.566128,25.03553,松壽門市,110台北市信義區松壽路12號一樓,02-8780-8772,Y
56,121.532818,25.057597,松江門市,104台北市中山區松江路206號1樓,02-2564-2790,Y
58,121.568653,25.03875,松仁門市,110台北市信義區松仁路7號,02-2723-1486,Y
61,121.530772,25.112395,忠誠門市,111台北市士林區士東路123號,02-2873-5815,Y
62,121.561193,25.030527,南山門市,110台北市信義區莊敬路168號1F(南山人壽總部大樓),02-8786-7793,Y
63,121.531804,25.041944,忠新門市,100台北市中正區忠孝東路二段134巷2號,02-2395-7870,Y
64,121.522887,25.026821,和平門市,106台北市大安區和平東路一段2號,02-2369-4200,Y
65,121.562458,25.047247,京華門市,105台北市松山區八德路四段138號,02-8761-6614,Y
66,121.562336,25.051247,京祥門市,105台北市松山區南京東路五段154號一樓,02-2749-1070,Y
67,121.541059,25.021491,辛亥門市,106台北市大安區辛亥路2段175號1樓,02-2738-5799,Y
68,121.564099,25.033408,101門市,110台北市信義區市府路45號B.C室,02-8101-8126,Y
69,121.562876,25.058499,三民門市,105台北市松山區民生東路五段158號,02-2767-6603,Y
70,121.526408,25.088311,士林門市,111台北市士林區文林路122號1F,02-2880-7805,Y
71,121.525895,25.095056,士捷門市,111台北市士林區中正路239號,02-2883-1657,Y
72,121.556142,25.080326,大直門市,104台北市中山區敬業三路123號,02-8502-1756,Y
73,121.522815,25.062879,中山門市,104台北市中山區中山北路二段171號一至二樓,02-2586-9568,Y
74,121.554672,25.03734,仁愛門市,106台北市大安區仁愛路四段306號,02-2709-6768,Y
75,121.54205,25.051786,六福門市,104台北市中山區南京東路三段133號,02-2547-5816,Y
76,121.533322,25.015581,公館門市,100台北市中正區羅斯福路四段26號一、二、三樓,02-2368-5629,Y
77,121.559142,25.033207,世貿門市,110台北市信義區信義路四段415-1號,02-2720-3568,Y
78,121.553903,25.051328,北寧門市,105台北市松山區南京東路四段56號1F,02-2570-6312,Y
81,121.55021,25.047724,台視門市,105台北市松山區八德路三段10號,02-2579-3016,Y
82,121.544784,25.057588,民生門市,105台北市松山區民生東路三段105號1F,02-2712-0428,Y
84,121.544177,25.061886,民權門市,104台北市中山區民權東路三段88號1樓,02-2504-4751,Y
85,121.57353,25.040998,永春門市,110台北市信義區忠孝東路五段299號,02-2742-5909,Y
